Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1837,First837,Last837,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,109,4,0,0
1838,First838,Last838,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,109,4,0,0
1839,First839,Last839,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
1840,First840,Last840,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,107,6,0,0
1841,First841,Last841,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1842,First842,Last842,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,111,2,0,0
1843,First843,Last843,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,112,1,0,0
1844,First844,Last844,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,107,6,0,0
1845,First845,Last845,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,97,16,0,0
1846,First846,Last846,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,111,2,0,0
1847,First847,Last847,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,104,9,0,1
1848,First848,Last848,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,110,3,0,0
1849,First849,Last849,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
1850,First850,Last850,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1851,First851,Last851,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,108,5,0,0
1852,First852,Last852,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,107,6,0,0
1853,First853,Last853,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,107,6,0,0
1854,First854,Last854,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,107,6,0,0
1855,First855,Last855,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,99,14,0,0
1856,First856,Last856,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1857,First857,Last857,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,113,0,0,0
1858,First858,Last858,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,88,25,0,0
1859,First859,Last859,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,90,23,0,0
1860,First860,Last860,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,98,15,0,0
1861,First861,Last861,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1862,First862,Last862,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,109,4,0,0
1863,First863,Last863,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,104,9,0,0
1864,First864,Last864,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1865,First865,Last865,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,106,7,0,0
1866,First866,Last866,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,85,28,0,0
1867,First867,Last867,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,104,9,0,0
1868,First868,Last868,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,108,5,0,0
1869,First869,Last869,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,112,1,0,0
1870,First870,Last870,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,96.5,16.5,0,0
1871,First871,Last871,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,108,5,0,0
1872,First872,Last872,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,111,2,0,0
1873,First873,Last873,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,1
1874,First874,Last874,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1875,First875,Last875,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,76,37,0,0
1876,First876,Last876,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,111,2,0,0
1877,First877,Last877,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,113,0,0,0
1878,First878,Last878,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,98.5,14.5,0,0
1879,First879,Last879,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,110,3,0,0
1880,First880,Last880,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,109.5,3.5,0,0
1881,First881,Last881,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,0,113,0,0
1882,First882,Last882,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,110,3,0,0
1883,First883,Last883,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,111,2,0,0
1884,First884,Last884,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,112,1,0,0
1885,First885,Last885,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1886,First886,Last886,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,89,24,0,0
1887,First887,Last887,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,111,2,0,0
1888,First888,Last888,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,112,1,0,0
1889,First889,Last889,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,0
1890,First890,Last890,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1891,First891,Last891,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,99,14,0,1
1892,First892,Last892,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,90,23,0,1
1893,First893,Last893,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,79,34,0,1
1894,First894,Last894,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,1
1895,First895,Last895,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1896,First896,Last896,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,108,5,0,0
1897,First897,Last897,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1898,First898,Last898,Active,B,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,105,8,0,0
1899,First899,Last899,Inactive,,8/24/2020,1/8/2021,4,KIPP Columbus Elementary,73,72,1,0,0
1900,First900,Last900,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,110,3,0,0
1901,First901,Last901,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1902,First902,Last902,Active,B,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,113,0,0,1
1903,First903,Last903,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,1
1904,First904,Last904,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,111,2,0,0
1905,First905,Last905,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,113,0,0,0
1906,First906,Last906,Active,A,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,112,1,0,0
1907,First907,Last907,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,84,29,0,0
1908,First908,Last908,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,106,7,0,0
1909,First909,Last909,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,110,3,0,0
1910,First910,Last910,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,107,6,0,0
