Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1001,First1,Last1,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1002,First2,Last2,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1003,First3,Last3,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,107,6,0,0
1004,First4,Last4,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,111,2,0,1
1005,First5,Last5,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1006,First6,Last6,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,104,9,0,0
1007,First7,Last7,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,106,7,0,0
1008,First8,Last8,Inactive,,8/24/2020,7/2/2020,11,KIPP Columbus High,0,0,0,0,0
1009,First9,Last9,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1010,First10,Last10,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,108,5,0,0
1011,First11,Last11,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,109,4,0,1
1012,First12,Last12,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,113,0,0,0
1013,First13,Last13,Inactive,,8/24/2020,5/30/2020,9,KIPP Columbus High,0,0,0,0,0
1014,First14,Last14,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,111,2,0,0
1015,First15,Last15,Active,,11/9/2020,6/4/2021,11,KIPP Columbus High,68,67,1,0,0
1016,First16,Last16,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1017,First17,Last17,Inactive,,8/24/2020,5/30/2020,12,KIPP Columbus High,0,0,0,0,0
1018,First18,Last18,Inactive,,10/28/2020,11/16/2020,10,KIPP Columbus High,50,37,13,0,0
1019,First19,Last19,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1020,First20,Last20,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,78,35,0,0
1021,First21,Last21,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,69,44,0,0
1022,First22,Last22,Inactive,,8/24/2020,11/9/2020,9,KIPP Columbus High,45,45,0,0,0
1023,First23,Last23,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,113,0,0,0
1024,First24,Last24,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,99,14,0,0
1025,First25,Last25,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,78,35,0,0
1026,First26,Last26,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1027,First27,Last27,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,96,17,0,0
1028,First28,Last28,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,103,10,0,1
1029,First29,Last29,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,110,3,0,0
1030,First30,Last30,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,111,2,0,1
1031,First31,Last31,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,108,5,0,0
1032,First32,Last32,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,93,20,0,0
1033,First33,Last33,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,105,8,0,0
1034,First34,Last34,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1035,First35,Last35,Active,,9/21/2020,6/4/2021,10,KIPP Columbus High,95,92,3,0,0
1036,First36,Last36,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,102,11,0,0
1037,First37,Last37,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,107,6,0,0
1038,First38,Last38,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1039,First39,Last39,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,112,1,0,0
1040,First40,Last40,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,100,13,0,1
1041,First41,Last41,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,1
1042,First42,Last42,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,104,9,0,1
1043,First43,Last43,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1044,First44,Last44,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1045,First45,Last45,Active,,1/18/2021,6/4/2021,11,KIPP Columbus High,34,32,2,0,0
1046,First46,Last46,Active,,11/10/2020,6/4/2021,9,KIPP Columbus High,67,67,0,0,0
1047,First47,Last47,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1048,First48,Last48,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,89,24,0,0
1049,First49,Last49,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,113,0,0,0
1050,First50,Last50,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1051,First51,Last51,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,73,40,0,0
1052,First52,Last52,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1053,First53,Last53,Inactive,,8/24/2020,9/7/2020,9,KIPP Columbus High,9,0,9,0,0
1054,First54,Last54,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,106,7,0,0
1055,First55,Last55,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1056,First56,Last56,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1057,First57,Last57,Inactive,,8/24/2020,10/14/2020,10,KIPP Columbus High,33,30,3,0,0
1058,First58,Last58,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,102,11,0,0
1059,First59,Last59,Inactive,,1/18/2021,1/19/2021,11,KIPP Columbus High,0,0,0,0,0
1060,First60,Last60,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,0
1061,First61,Last61,Inactive,,8/24/2020,9/22/2020,11,KIPP Columbus High,19,5,14,0,0
1062,First62,Last62,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1063,First63,Last63,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,97,16,0,0
1064,First64,Last64,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,84,29,0,0
1065,First65,Last65,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,79,34,0,0
1066,First66,Last66,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1067,First67,Last67,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,88,25,0,0
1068,First68,Last68,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,0,113,0,0
1069,First69,Last69,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1070,First70,Last70,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1071,First71,Last71,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,73,40,0,0
1072,First72,Last72,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,85,28,0,0
1073,First73,Last73,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,0
1074,First74,Last74,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1075,First75,Last75,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,88.5,24.5,0,0
1076,First76,Last76,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,100.5,12.5,0,0
1077,First77,Last77,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,109,4,0,0
1078,First78,Last78,Unknown,,8/24/2020,8/2/2020,9,KIPP Columbus High,0,0,0,0,0
1079,First79,Last79,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1080,First80,Last80,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,113,0,0,0
1081,First81,Last81,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,0
1082,First82,Last82,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,102,11,0,0
1083,First83,Last83,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,58,55,0,0
1084,First84,Last84,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,1
1085,First85,Last85,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,1
1086,First86,Last86,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,1
1087,First87,Last87,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,1
1088,First88,Last88,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,99,14,0,0
1089,First89,Last89,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,112,1,0,0
1090,First90,Last90,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1091,First91,Last91,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,107,6,0,0
1092,First92,Last92,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,105,8,0,0
1093,First93,Last93,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,109,4,0,0
1094,First94,Last94,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,74,39,0,0
1095,First95,Last95,Inactive,,8/24/2020,9/23/2020,10,KIPP Columbus High,20,1,19,0,0
1096,First96,Last96,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,69,44,0,1
1097,First97,Last97,Inactive,,8/24/2020,9/22/2020,10,KIPP Columbus High,19,4,15,0,0
1098,First98,Last98,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,47,66,0,0
1099,First99,Last99,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1100,First100,Last100,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,1
1101,First101,Last101,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,89.5,23.5,0,0
1102,First102,Last102,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,109,4,0,0
1103,First103,Last103,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,69.5,43.5,0,1
1104,First104,Last104,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1105,First105,Last105,Inactive,,8/24/2020,12/10/2020,12,KIPP Columbus High,63,49,14,0,0
1106,First106,Last106,Inactive,,8/24/2020,5/30/2020,10,KIPP Columbus High,0,0,0,0,0
1107,First107,Last107,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,1
1108,First108,Last108,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,44.5,68.5,0,0
1109,First109,Last109,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,0
1110,First110,Last110,Inactive,,8/24/2020,10/27/2020,12,KIPP Columbus High,37,9,28,0,0
1111,First111,Last111,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,113,0,0,0
1112,First112,Last112,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,94,19,0,0
1113,First113,Last113,Inactive,,8/24/2020,5/30/2020,11,KIPP Columbus High,0,0,0,0,0
1114,First114,Last114,Inactive,,8/24/2020,9/7/2020,9,KIPP Columbus High,9,7,2,0,0
1115,First115,Last115,Inactive,,8/24/2020,9/8/2020,12,KIPP Columbus High,9,2,7,0,1
1116,First116,Last116,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,77,36,0,1
1117,First117,Last117,Inactive,,8/24/2020,12/7/2020,12,KIPP Columbus High,60,39,21,0,1
1118,First118,Last118,Inactive,,8/24/2020,7/2/2020,12,KIPP Columbus High,0,0,0,0,1
1119,First119,Last119,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,1
1120,First120,Last120,Inactive,,8/24/2020,9/10/2020,10,KIPP Columbus High,11,9,2,0,0
1121,First121,Last121,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,80,33,0,0
1122,First122,Last122,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,46.5,66.5,0,0
1123,First123,Last123,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,104,9,0,0
1124,First124,Last124,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,107,6,0,0
1125,First125,Last125,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,82,31,0,0
1126,First126,Last126,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,107.5,5.5,0,0
1127,First127,Last127,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,112,1,0,0
1128,First128,Last128,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,108,5,0,0
1129,First129,Last129,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1130,First130,Last130,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,102,11,0,0
1131,First131,Last131,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1132,First132,Last132,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,87,26,0,0
1133,First133,Last133,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,87,26,0,0
1134,First134,Last134,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,0
1135,First135,Last135,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1136,First136,Last136,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,0
1137,First137,Last137,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,1
1138,First138,Last138,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,1
1139,First139,Last139,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,109.5,3.5,0,1
1140,First140,Last140,Inactive,,8/24/2020,12/10/2020,12,KIPP Columbus High,63,29,34,0,1
1141,First141,Last141,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,1
1142,First142,Last142,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,112,1,0,1
1143,First143,Last143,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,0
1144,First144,Last144,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,80,33,0,0
1145,First145,Last145,Inactive,,8/24/2020,9/12/2020,12,KIPP Columbus High,13,10,3,0,0
1146,First146,Last146,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1147,First147,Last147,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,111,2,0,0
1148,First148,Last148,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,109,4,0,0
1149,First149,Last149,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,105.5,7.5,0,0
1150,First150,Last150,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,99,14,0,0
1151,First151,Last151,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,95,18,0,0
1152,First152,Last152,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,113,0,0,0
1153,First153,Last153,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1154,First154,Last154,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,104,9,0,1
1155,First155,Last155,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,110,3,0,0
1156,First156,Last156,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,0
1157,First157,Last157,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,106,7,0,0
1158,First158,Last158,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1159,First159,Last159,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1160,First160,Last160,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,106,7,0,0
1161,First161,Last161,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1162,First162,Last162,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1163,First163,Last163,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1164,First164,Last164,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,76,37,0,1
1165,First165,Last165,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1166,First166,Last166,Inactive,,8/24/2020,7/2/2020,11,KIPP Columbus High,0,0,0,0,0
1167,First167,Last167,Inactive,,8/24/2020,9/8/2020,9,KIPP Columbus High,9,1,8,0,0
1168,First168,Last168,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,111,2,0,1
1169,First169,Last169,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,107,6,0,0
1170,First170,Last170,Inactive,,8/24/2020,5/30/2020,10,KIPP Columbus High,0,0,0,0,0
1171,First171,Last171,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1172,First172,Last172,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,100,13,0,1
1173,First173,Last173,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1174,First174,Last174,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,108,5,0,0
1175,First175,Last175,Active,,1/18/2021,6/4/2021,11,KIPP Columbus High,34,32,2,0,0
1176,First176,Last176,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,70,43,0,0
1177,First177,Last177,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,103,10,0,0
1178,First178,Last178,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1179,First179,Last179,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,97,16,0,0
1180,First180,Last180,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,91,22,0,0
1181,First181,Last181,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,108,5,0,0
1182,First182,Last182,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,106,7,0,0
1183,First183,Last183,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,1
1184,First184,Last184,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,85,28,0,0
1185,First185,Last185,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,98,15,0,1
1186,First186,Last186,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,101,12,0,1
1187,First187,Last187,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,97,16,0,0
1188,First188,Last188,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1189,First189,Last189,Inactive,,8/24/2020,5/30/2020,11,KIPP Columbus High,0,0,0,0,0
1190,First190,Last190,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,1
1191,First191,Last191,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,0,113,0,0
1192,First192,Last192,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,89,24,0,1
1193,First193,Last193,Inactive,,8/24/2020,11/9/2020,11,KIPP Columbus High,45,45,0,0,0
1194,First194,Last194,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1195,First195,Last195,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,1
1196,First196,Last196,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,1
1197,First197,Last197,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,107,6,0,0
1198,First198,Last198,Inactive,,8/24/2020,1/6/2021,12,KIPP Columbus High,71,35,36,0,0
1199,First199,Last199,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,105,8,0,0
1200,First200,Last200,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1201,First201,Last201,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,40,73,0,1
1202,First202,Last202,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,99,14,0,0
1203,First203,Last203,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,100,13,0,0
1204,First204,Last204,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1205,First205,Last205,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,102,11,0,1
1206,First206,Last206,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,104,9,0,0
1207,First207,Last207,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1208,First208,Last208,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,54,59,0,0
1209,First209,Last209,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1210,First210,Last210,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,1
1211,First211,Last211,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,111,2,0,1
1212,First212,Last212,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,1
1213,First213,Last213,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,1
1214,First214,Last214,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,108,5,0,1
1215,First215,Last215,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,106,7,0,0
1216,First216,Last216,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1217,First217,Last217,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,109,4,0,0
1218,First218,Last218,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,105,8,0,0
1219,First219,Last219,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1220,First220,Last220,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,86,27,0,0
1221,First221,Last221,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,95,18,0,0
1222,First222,Last222,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,110,3,0,0
1223,First223,Last223,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,0
1224,First224,Last224,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,108,5,0,0
1225,First225,Last225,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1226,First226,Last226,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,97,16,0,0
1227,First227,Last227,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,85.5,27.5,0,0
1228,First228,Last228,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1229,First229,Last229,Inactive,,11/30/2020,2/18/2021,11,KIPP Columbus High,43,43,0,0,0
1230,First230,Last230,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,92,21,0,0
1231,First231,Last231,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,109,4,0,1
1232,First232,Last232,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,107,6,0,1
1233,First233,Last233,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,112.5,0.5,0,1
1234,First234,Last234,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,102,11,0,0
1235,First235,Last235,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,82,31,0,0
1236,First236,Last236,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,83,30,0,0
1237,First237,Last237,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,92,21,0,0
1238,First238,Last238,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,104,9,0,0
1239,First239,Last239,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1240,First240,Last240,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,112,1,0,0
1241,First241,Last241,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,98,15,0,0
1242,First242,Last242,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,109,4,0,0
1243,First243,Last243,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,111,2,0,0
1244,First244,Last244,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,110,3,0,0
1245,First245,Last245,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,90,23,0,0
1246,First246,Last246,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,111,2,0,0
1247,First247,Last247,Inactive,,10/6/2020,10/7/2020,10,KIPP Columbus High,1,1,0,0,0
1248,First248,Last248,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,105,8,0,0
1249,First249,Last249,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,113,0,0,0
1250,First250,Last250,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,43,70,0,0
1251,First251,Last251,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,110,3,0,0
1252,First252,Last252,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1253,First253,Last253,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,80,33,0,0
1254,First254,Last254,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1255,First255,Last255,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,107,6,0,0
1256,First256,Last256,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1257,First257,Last257,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,108,5,0,0
1258,First258,Last258,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,41,72,0,0
1259,First259,Last259,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,67,46,0,0
1260,First260,Last260,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,111,2,0,0
1261,First261,Last261,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,81,32,0,0
1262,First262,Last262,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,105,8,0,0
1263,First263,Last263,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,108,5,0,0
1264,First264,Last264,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1265,First265,Last265,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,110,3,0,0
1266,First266,Last266,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,88.5,24.5,0,0
1267,First267,Last267,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,85.5,27.5,0,0
1268,First268,Last268,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,109,4,0,0
1269,First269,Last269,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,112,1,0,0
1270,First270,Last270,Active,,8/24/2020,6/4/2021,12,KIPP Columbus High,113,71.5,41.5,0,0
1271,First271,Last271,Active,,8/24/2020,6/4/2021,9,KIPP Columbus High,113,113,0,0,0
1272,First272,Last272,Unknown,,8/24/2020,8/2/2020,9,KIPP Columbus High,0,0,0,0,0
1273,First273,Last273,Active,,8/24/2020,6/4/2021,11,KIPP Columbus High,113,112,1,0,0
1274,First274,Last274,Active,,8/24/2020,6/4/2021,10,KIPP Columbus High,113,105,8,0,0
1275,First275,Last275,Inactive,,8/24/2020,9/9/2020,11,KIPP Columbus High,10,0,10,0,0
